Update: 2016-11-04

### Ship Type : See shiptype.txt
### After Upgrade : Ship id after upgrade

### Max Hp, Armor, Fire power, Torpedo power, AA Power, Luck
[Default Value],[Max Value]

### Speed
0	Land base
5	Slow
10	Fast

### Range
0	None
1	Short
2	Middle
3	Long
4	Super long

### Materials on broken : [Fuel],[Ammo],[Steel],[Bauxite]
### Required fuel, Required ammo : Required material to upgrade

### Voice bits
1	Idle voice
2	O-clock voice
4	Special idle voice (Idle voice when Condition>=50)

### Player ships
ID	Sort No.	Name	Yomi	Ship Type	Upgrade Level	After Upgrade	Max Hp	Armor	Fire power	Torpedo power	AA Power	Luck	Speed	Range	Slot count	Airplanes	Build mins	Materials on broken	Powerup point	Rarity	Required fuel	Required ammo	Max fuel	Max ammo	Voice bits
152	152	霧島改二	きりしま	8	0	0	82,99	70,92	78,104	0,0	30,82	14,79	10	3	4	3,3,3,3,0	240	10,14,33,3	4,0,2,4	7	0	0	100	125	3
153	153	大鳳	たいほう	18	40	156	67,87	40,79	0,49	0,0	42,79	2,19	10	1	4	18,18,18,7,0	400	8,15,36,12	0,0,5,5	7	900	450	70	65	3
154	154	香取	かとり	21	35	343	36,48	9,27	14,28	12,28	14,42	10,49	5	2	3	1,1,1,0,0	70	3,1,10,0	0,1,0,1	4	400	120	30	15	1
155	155	伊401	い401	14	35	403	20,24	5,24	2,9	36,72	0,0	20,59	5	1	1	3,0,0,0,0	200	1,2,3,2	0,1,1,1	6	300	100	20	15	3
156	156	大鳳改	たいほう	18	0	0	70,90	44,84	0,59	0,0	45,86	4,39	10	1	4	30,24,24,8,0	400	9,16,36,14	0,0,5,5	7	0	0	90	75	3
157	157	龍驤改二	りゅうじょう	7	0	0	50,72	28,62	0,40	0,0	24,48	15,59	10	1	4	18,28,6,3,0	170	4,12,22,6	0,0,3,3	6	0	0	40	45	1
158	158	川内改二	せんだい	3	0	0	48,64	29,69	24,67	26,88	20,70	14,79	10	2	3	1,1,1,0,0	60	2,2,10,0	1,1,1,2	6	0	0	25	35	1
159	159	神通改二	じんつう	3	0	0	50,63	29,69	27,70	38,98	18,68	13,79	10	2	3	1,1,1,0,0	60	2,2,10,0	1,1,1,2	6	0	0	25	35	1
160	160	那珂改二	なか	3	0	0	48,62	29,68	22,68	28,84	24,72	13,84	10	2	3	1,1,1,0,0	60	2,2,10,0	1,1,1,2	6	0	0	25	35	1
161	161	あきつ丸	あきつまる	17	25	166	38,49	13,33	6,19	0,0	13,29	10,39	5	1	2	0,0,0,0,0	150	2,2,12,2	0,0,1,1	5	200	80	40	10	3
163	163	まるゆ	まるゆ	13	20	402	6,9	2,9	1,3	0,9	0,0	7,77	5	1	0	0,0,0,0,0	17	1,0,1,0	0,0,0,1	5	50	20	10	5	3
164	164	弥生	やよい	2	20	308	13,24	5,18	6,29	18,49	7,29	10,49	10	1	2	0,0,0,0,0	18	1,1,4,0	1,1,0,0	4	100	100	15	15	1
165	165	卯月	うづき	2	25	309	13,24	5,18	6,29	18,49	7,29	10,49	10	1	2	0,0,0,0,0	18	1,1,4,0	0,1,0,0	4	100	100	15	15	1
166	166	あきつ丸改	あきつまる	17	0	0	40,59	15,43	8,33	0,0	15,37	13,49	5	1	3	8,8,8,0,0	150	2,2,13,5	1,0,1,1	6	0	0	45	25	3
167	167	磯風	いそかぜ	2	45	320	16,34	6,19	10,29	24,69	14,44	16,54	10	1	2	0,0,0,0,0	24	1,1,6,0	0,1,0,1	5	140	160	15	20	1
168	168	浦風	うらかぜ	2	35	317	16,34	6,19	10,29	24,69	10,40	13,49	10	1	2	0,0,0,0,0	24	1,1,6,0	0,1,0,1	4	110	140	15	20	0
169	169	谷風	たにかぜ	2	30	313	16,34	6,19	10,29	24,69	10,40	14,49	10	1	2	0,0,0,0,0	24	1,1,6,0	0,1,0,1	4	100	100	15	20	0
170	170	浜風	はまかぜ	2	30	312	16,34	6,19	10,29	24,69	13,42	15,49	10	1	2	0,0,0,0,0	24	1,1,6,0	0,1,0,1	4	100	100	15	20	0
171	171	Bismarck	ビスマルク	8	30	172	90,96	67,83	64,88	0,0	18,48	8,69	10	3	4	4,4,4,4,0	300	10,16,38,4	3,0,1,3	7	600	800	90	110	1
172	172	Bismarck改	ビスマルク	8	50	173	94,99	77,93	70,93	0,0	24,58	10,79	10	3	4	4,4,4,4,0	300	12,18,40,4	4,0,1,4	7	1200	1600	95	115	3
173	173	Bismarck zwei	ビスマルク	8	75	178	96,99	80,94	70,97	0,0	25,62	20,82	10	3	4	4,4,4,4,0	300	12,18,40,4	4,0,2,4	7	1800	2400	105	135	3
174	174	Z1	レーベレヒト・マース	2	30	310	18,29	8,22	8,26	24,60	12,42	6,39	10	1	3	0,0,0,0,0	24	1,1,6,0	1,1,0,0	5	170	150	20	20	1
175	175	Z3	マックス・シュルツ	2	30	311	18,29	8,22	8,26	24,60	12,42	6,39	10	1	3	0,0,0,0,0	24	1,1,6,0	1,1,0,0	5	170	150	20	20	1
176	176	Prinz Eugen	プリンツ・オイゲン	5	45	177	50,72	38,64	38,56	32,64	16,44	30,79	10	2	3	3,3,3,0,0	200	2,3,15,2	2,1,0,2	6	700	600	50	70	1
177	177	Prinz Eugen改	プリンツ・オイゲン	5	0	0	63,79	48,82	48,75	40,84	18,60	40,89	10	2	4	3,3,3,3,0	200	4,8,22,3	3,2,1,3	7	0	0	55	75	3
178	178	Bismarck drei	ビスマルク	8	0	0	96,99	82,95	74,99	16,36	35,70	22,84	10	3	4	4,4,4,4,0	300	12,20,42,4	4,1,2,4	7	0	0	110	155	3
179	179	Z1 zwei	レーベレヒト・マース	2	0	0	35,59	18,53	12,49	27,71	20,64	15,49	10	1	3	0,0,0,0,0	24	1,1,6,0	1,1,0,0	7	0	0	20	25	3
180	180	Z3 zwei	マックス・シュルツ	2	0	0	35,59	18,53	10,47	27,71	24,68	15,49	10	1	3	0,0,0,0,0	24	1,1,6,0	1,1,0,0	7	0	0	20	25	3
181	181	天津風	あまつかぜ	2	20	316	18,37	7,25	10,29	28,79	22,53	18,59	10	1	3	0,0,0,0,0	30	1,1,6,0	1,1,1,1	6	120	100	20	20	1
182	182	明石	あかし	19	35	187	39,48	7,19	4,14	0,0	10,24	10,39	5	1	3	0,0,0,0,0	220	3,1,15,3	0,0,1,1	6	1500	200	50	10	1
183	183	大淀	おおよど	3	35	321	34,47	19,34	24,48	0,39	18,62	24,69	10	2	3	0,6,6,0,0	80	4,2,14,2	1,0,2,2	6	400	320	35	30	1
184	184	大鯨	たいげい・りゅうほう	20	25	185	39,55	15,37	5,15	0,0	16,36	20,59	5	1	3	2,3,3,0,0	150	2,2,12,2	0,0,1,2	4	700	450	35	10	1
185	185	龍鳳	たいげい・りゅうほう	7	50	318	39,57	18,38	0,20	0,0	24,48	20,69	5	1	3	18,7,6,0,0	160	2,3,13,4	0,0,2,2	5	450	550	35	35	3
186	186	時津風	ときつかぜ	2	30	322	16,34	6,19	10,29	24,69	10,40	13,49	10	1	2	0,0,0,0,0	24	1,1,6,0	0,1,0,1	5	120	110	15	20	1
187	187	明石改	あかし	19	0	0	45,58	9,27	6,24	0,0	16,36	12,49	5	1	4	0,0,0,0,0	150	3,2,16,3	0,0,1,1	7	0	0	55	15	3
188	188	利根改二	とね	6	0	0	59,72	48,79	46,77	32,82	32,82	15,69	10	2	4	2,2,9,5,0	90	5,8,18,5	3,1,3,2	7	0	0	50	65	1
189	189	筑摩改二	ちくま	6	0	0	58,72	48,79	46,77	33,83	33,83	14,67	10	2	4	2,2,9,5,0	90	5,8,18,5	3,1,3,2	7	0	0	50	65	1
190	118	初風	はつかぜ	2	20	300	16,34	6,19	10,29	24,69	9,39	10,49	10	1	2	0,0,0,0,0	24	1,1,6,0	0,1,0,1	4	100	100	15	20	3
191	123	伊19	い19	13	50	401	14,19	4,18	2,9	36,79	0,0	12,49	5	1	1	0,0,0,0,0	22	1,2,2,1	0,2,0,0	4	140	200	10	20	3
192	192	那智改二	なち	5	0	0	56,71	48,78	50,80	34,84	33,83	18,70	10	2	4	2,2,4,4,0	80	4,7,20,2	3,1,2,2	6	0	0	45	75	1
193	193	足柄改二	あしがら	5	0	0	56,71	47,79	53,82	34,84	26,74	20,72	10	2	4	2,2,4,4,0	80	4,7,20,2	3,1,2,2	6	0	0	45	75	3
194	194	羽黒改二	はぐろ	5	0	0	57,71	47,77	52,84	34,84	24,72	19,70	10	2	4	2,2,4,4,0	80	4,7,20,2	3,1,2,2	5	0	0	45	75	1
195	195	綾波改二	あやなみ	2	0	0	32,54	15,54	17,72	30,87	16,52	40,81	10	1	3	0,0,0,0,0	20	1,2,10,0	2,2,1,1	6	0	0	15	20	3
196	196	飛龍改二	ひりゅう	11	0	0	67,89	37,76	0,64	0,0	33,82	50,92	10	1	4	18,36,22,3,0	250	10,14,32,11	0,0,4,5	8	0	0	70	75	3
197	197	蒼龍改二	そうりゅう	11	0	0	67,89	36,75	0,57	0,0	34,84	15,59	10	1	4	18,35,20,6,0	250	10,14,32,11	0,0,4,5	8	0	0	70	75	3
199	199	大潮改二	おおしお	2	0	0	31,53	14,51	17,67	33,90	20,62	17,69	10	1	3	0,0,0,0,0	22	1,2,10,0	2,2,1,1	6	0	0	15	20	1
200	200	阿武隈改二	あぶくま	3	0	0	45,61	29,68	16,56	34,94	35,78	20,74	10	1	3	1,1,1,0,0	75	2,2,10,0	1,2,2,2	7	0	0	25	35	3
201	1301	吹雪改	ふぶき	2	70	426	30,49	13,49	12,49	28,79	15,49	12,49	10	1	3	0,0,0,0,0	20	1,2,10,0	1,1,1,1	4	230	270	15	20	3
202	1302	白雪改	しらゆき	2	0	0	30,49	13,49	12,49	28,79	15,49	12,49	10	1	3	0,0,0,0,0	20	1,2,10,0	1,1,1,1	4	0	0	15	20	1
203	1303	初雪改	はつゆき	2	0	0	30,49	13,49	12,49	28,79	15,49	12,49	10	1	3	0,0,0,0,0	20	1,2,10,0	1,1,1,1	4	0	0	15	20	1
204	1304	深雪改	みゆき	2	0	0	30,49	13,49	12,49	28,79	15,49	12,49	10	1	3	0,0,0,0,0	20	1,2,10,0	1,1,1,1	4	0	0	15	20	1
205	1305	叢雲改	むらくも	2	70	420	30,49	13,49	12,49	28,79	15,49	12,49	10	1	3	0,0,0,0,0	20	1,2,10,0	1,1,1,1	4	210	250	15	20	3
206	1306	磯波改	いそなみ	2	0	0	30,49	13,49	12,49	28,79	15,49	12,49	10	1	3	0,0,0,0,0	20	1,2,10,0	1,1,1,1	4	0	0	15	20	0
207	1307	綾波改	あやなみ	2	70	195	30,49	13,49	12,49	28,79	15,49	12,49	10	1	3	0,0,0,0,0	20	1,2,10,0	1,1,1,1	4	200	280	15	20	1
208	1308	敷波改	しきなみ	2	0	0	30,49	13,49	12,49	28,79	15,49	12,49	10	1	3	0,0,0,0,0	20	1,2,10,0	1,1,1,1	4	0	0	15	20	1
209	1309	金剛改	こんごう	8	75	149	75,89	67,89	72,94	0,0	28,79	12,69	10	3	4	3,3,3,3,0	240	10,14,33,3	4,0,2,3	6	2400	2400	90	120	1
210	1310	比叡改	ひえい	8	75	150	75,89	67,89	72,94	0,0	28,79	12,69	10	3	4	3,3,3,3,0	240	10,14,33,3	4,0,2,3	6	2400	2400	90	120	1
211	1311	榛名改	はるな	8	80	151	75,89	67,89	72,94	0,0	28,79	20,69	10	3	4	3,3,3,3,0	240	10,14,33,3	4,0,2,3	6	2400	2400	90	120	1
212	1312	霧島改	きりしま	8	75	152	75,89	67,89	72,94	0,0	28,79	12,69	10	3	4	3,3,3,3,0	240	10,14,33,3	4,0,2,3	6	2400	2400	90	120	1
213	1313	天龍改	てんりゅう	3	0	0	40,54	28,59	20,59	24,79	12,49	12,59	10	2	3	0,0,0,0,0	60	1,1,8,0	1,1,1,2	4	0	0	25	25	1
214	1314	龍田改	たつた	3	0	0	40,54	28,59	20,59	24,79	12,49	12,59	10	2	3	0,0,0,0,0	60	1,1,8,0	1,1,1,2	4	0	0	25	25	1
215	1315	球磨改	くま	3	0	0	42,59	29,69	20,69	24,89	15,69	12,59	10	2	3	1,1,1,0,0	60	2,2,10,0	2,1,1,2	5	0	0	25	30	1
216	1316	多摩改	たま	3	0	0	42,59	29,59	20,59	24,79	15,59	12,59	10	2	3	1,1,1,0,0	60	2,2,10,0	1,1,1,2	4	0	0	25	30	1
217	1317	木曾改	きそ	3	65	146	42,59	29,59	20,59	24,79	15,59	12,59	10	2	3	1,1,1,0,0	60	2,2,10,0	1,1,1,2	4	400	750	25	30	0
218	1318	長良改	ながら	3	0	0	43,59	29,69	20,69	24,89	15,69	12,59	10	2	3	1,1,1,0,0	60	2,2,10,0	2,1,1,2	5	0	0	25	30	1
219	1319	五十鈴改	いすず	3	50	141	37,59	29,59	18,59	24,79	40,59	12,59	10	2	3	1,1,1,0,0	60	2,2,10,0	1,1,4,2	4	270	360	25	30	0
220	1320	由良改	ゆら	3	0	0	43,59	29,59	20,59	24,79	15,59	12,59	10	2	3	1,1,1,0,0	60	2,2,10,0	1,1,1,2	4	0	0	25	30	0
221	1321	名取改	なとり	3	0	0	43,59	29,59	20,69	24,89	15,59	12,59	10	2	3	1,1,1,0,0	60	2,2,10,0	1,1,1,2	4	0	0	25	30	1
222	1322	川内改	せんだい	3	60	158	44,59	29,69	20,59	24,79	15,69	12,59	10	2	3	1,1,1,0,0	60	2,2,10,0	2,1,1,2	5	300	480	25	30	1
223	1323	神通改	じんつう	3	60	159	44,59	29,59	20,59	24,79	15,59	12,59	10	2	3	1,1,1,0,0	60	2,2,10,0	1,1,1,2	4	300	480	25	30	1
224	1324	那珂改	なか	3	48	160	44,59	29,59	20,59	24,79	15,59	12,59	10	2	3	1,1,1,0,0	60	2,2,10,0	1,1,1,2	4	480	400	25	30	1
225	1325	陽炎改	かげろう	2	0	0	32,49	14,49	12,49	28,79	16,49	12,59	10	1	3	0,0,0,0,0	24	1,2,10,0	1,1,1,1	4	0	0	15	20	1
226	1326	不知火改	しらぬい	2	0	0	32,49	14,49	12,49	28,79	16,49	12,59	10	1	3	0,0,0,0,0	24	1,2,10,0	1,1,1,1	4	0	0	15	20	1
227	1327	黒潮改	くろしお	2	0	0	32,49	14,49	12,49	28,79	16,49	12,59	10	1	3	0,0,0,0,0	24	1,2,10,0	1,1,1,1	4	0	0	15	20	1
228	1328	雪風改	ゆきかぜ	2	0	0	32,49	14,59	12,59	28,89	16,59	60,99	10	1	3	0,0,0,0,0	24	1,2,10,0	1,1,2,2	6	0	0	15	20	0
229	1329	島風改	しまかぜ	2	0	0	36,59	14,59	14,59	48,99	16,59	12,59	10	1	3	0,0,0,0,0	30	1,3,15,0	1,2,1,2	6	0	0	20	25	1
230	1330	朧改	おぼろ	2	0	0	30,49	13,49	12,49	28,79	15,49	12,59	10	1	3	0,0,0,0,0	20	1,2,10,0	1,1,1,1	4	0	0	15	20	1
231	1331	曙改	あけぼの	2	0	0	30,49	13,49	12,49	28,79	15,49	12,59	10	1	3	0,0,0,0,0	20	1,2,10,0	1,1,1,1	4	0	0	15	20	1
232	1332	漣改	さざなみ	2	0	0	30,49	13,49	12,49	28,79	15,49	12,59	10	1	3	0,0,0,0,0	20	1,2,10,0	1,1,1,1	4	0	0	15	20	1
233	1333	潮改	うしお	2	60	407	30,49	13,49	12,49	28,79	15,49	20,79	10	1	3	0,0,0,0,0	20	1,2,10,0	1,1,1,1	4	170	30	15	20	1
234	1334	暁改	あかつき	2	70	437	30,49	13,49	12,49	28,79	15,49	12,59	10	1	3	0,0,0,0,0	20	1,2,10,0	1,1,1,1	4	190	190	15	20	3
235	1335	響改	ひびき	2	70	147	30,49	13,49	12,49	28,79	15,49	12,59	10	1	3	0,0,0,0,0	20	1,2,10,0	1,1,1,1	4	240	200	15	20	0
236	1336	雷改	いかづち	2	0	0	30,49	13,49	12,49	28,79	15,49	12,59	10	1	3	0,0,0,0,0	20	1,2,10,0	1,1,1,1	4	0	0	15	20	1
237	1337	電改	いなづま	2	0	0	30,49	13,49	12,49	28,79	15,49	12,59	10	1	3	0,0,0,0,0	20	1,2,10,0	1,1,1,1	4	0	0	15	20	1
238	1338	初春改	はつはる	2	65	326	30,48	13,49	12,49	28,79	15,49	12,59	10	1	3	0,0,0,0,0	20	1,2,10,0	1,1,1,1	4	200	200	15	20	1
239	1339	子日改	ねのひ	2	0	0	30,48	13,49	12,49	28,79	15,49	12,59	10	1	3	0,0,0,0,0	20	1,2,10,0	1,1,1,1	4	0	0	15	20	1
240	1340	若葉改	わかば	2	0	0	30,48	13,49	12,49	28,79	15,49	12,59	10	1	3	0,0,0,0,0	20	1,2,10,0	1,1,1,1	4	0	0	15	20	1
241	1341	初霜改	はつしも	2	70	419	30,48	13,49	12,49	28,79	15,49	12,59	10	1	3	0,0,0,0,0	20	1,2,10,0	1,1,1,1	4	220	230	15	20	1
242	1342	白露改	しらつゆ	2	0	0	30,48	14,49	12,49	28,79	15,49	12,59	10	1	3	0,0,0,0,0	22	1,2,10,0	1,1,1,1	4	0	0	15	20	1
243	1343	時雨改	しぐれ	2	60	145	30,48	14,49	12,49	28,79	15,49	12,59	10	1	3	0,0,0,0,0	22	1,2,10,0	1,1,1,1	4	180	200	15	20	1
244	1344	村雨改	むらさめ	2	0	0	30,48	14,49	12,49	28,79	15,49	12,59	10	1	3	0,0,0,0,0	22	1,2,10,0	1,1,1,1	4	0	0	15	20	1
245	1345	夕立改	ゆうだち	2	55	144	30,48	14,49	12,49	28,79	15,49	12,59	10	1	3	0,0,0,0,0	22	1,2,10,0	1,1,1,1	4	180	200	15	20	1
246	1346	五月雨改	さみだれ	2	0	0	30,48	14,49	12,49	28,79	15,49	12,59	10	1	3	0,0,0,0,0	22	1,2,10,0	1,1,1,1	4	0	0	15	20	1
247	1347	涼風改	すずかぜ	2	0	0	30,48	14,49	12,49	28,79	15,49	12,59	10	1	3	0,0,0,0,0	22	1,2,10,0	1,1,1,1	4	0	0	15	20	1
248	1348	朝潮改	あさしお	2	70	463	31,49	14,49	12,49	28,79	16,49	12,59	10	1	3	0,0,0,0,0	22	1,2,10,0	1,1,1,1	4	390	360	15	20	1
249	1349	大潮改	おおしお	2	65	199	31,49	14,49	12,49	28,79	16,49	12,59	10	1	3	0,0,0,0,0	22	1,2,10,0	1,1,1,1	4	270	200	15	20	1
250	1350	満潮改	みちしお	2	0	0	31,49	14,49	12,49	28,79	16,49	12,59	10	1	3	0,0,0,0,0	22	1,2,10,0	1,1,1,1	4	0	0	15	20	1
251	1351	荒潮改	あらしお	2	0	0	31,49	14,49	12,49	28,79	16,49	12,59	10	1	3	0,0,0,0,0	22	1,2,10,0	1,1,1,1	4	0	0	15	20	1
252	1352	霰改	あられ	2	0	0	31,49	14,49	12,49	28,79	16,49	12,59	10	1	3	0,0,0,0,0	22	1,2,10,0	1,1,1,1	4	0	0	15	20	1
253	1353	霞改	かすみ	2	75	464	31,49	14,49	12,49	28,79	16,49	20,79	10	1	3	0,0,0,0,0	22	1,2,10,0	1,1,1,1	4	390	300	15	20	1
254	1354	睦月改	むつき	2	65	434	24,39	11,39	9,39	18,69	12,39	12,59	10	1	3	0,0,0,0,0	18	1,1,4,0	1,1,0,0	4	170	100	15	15	1
255	1355	如月改	きさらぎ	2	65	435	24,39	11,39	9,39	18,69	12,39	12,59	10	1	3	0,0,0,0,0	18	1,1,4,0	0,1,0,0	4	170	100	15	15	1
256	1356	皐月改	さつき	2	75	418	24,39	11,39	9,39	18,69	12,39	12,59	10	1	3	0,0,0,0,0	18	1,1,4,0	0,1,0,0	4	330	270	15	15	1
257	1357	文月改	ふみづき	2	0	0	24,39	11,39	9,39	18,69	12,39	12,59	10	1	3	0,0,0,0,0	18	1,1,4,0	0,1,0,0	4	0	0	15	15	1
258	1358	長月改	ながつき	2	0	0	24,39	11,39	9,39	18,69	12,39	20,79	10	1	3	0,0,0,0,0	18	1,1,4,0	0,1,0,0	4	0	0	15	15	1
259	1359	菊月改	きくづき	2	0	0	24,39	11,39	9,39	18,69	12,39	12,59	10	1	3	0,0,0,0,0	18	1,1,4,0	0,1,0,0	4	0	0	15	15	1
260	1360	三日月改	みかづき	2	0	0	24,39	11,39	9,39	18,69	12,39	12,59	10	1	3	0,0,0,0,0	18	1,1,4,0	0,1,0,0	4	0	0	15	15	1
261	1361	望月改	もちづき	2	0	0	24,39	11,39	9,39	18,69	12,39	12,59	10	1	3	0,0,0,0,0	18	1,1,4,0	0,1,0,0	4	0	0	15	15	1
262	1362	古鷹改	ふるたか	5	65	416	48,65	32,70	36,70	18,59	18,59	10,59	10	2	4	2,2,2,2,0	60	3,6,15,1	2,1,1,2	4	380	480	35	55	1
263	1363	加古改	かこ	5	65	417	48,65	32,70	36,70	18,59	18,59	10,59	10	2	4	2,2,2,2,0	60	3,6,15,1	2,1,1,2	4	380	480	35	55	1
264	1364	青葉改	あおば	5	0	0	49,65	34,70	36,72	18,59	18,59	30,79	10	2	4	2,2,2,2,0	60	3,6,15,1	2,1,1,2	4	0	0	35	55	0
265	1365	妙高改	みょうこう	5	70	319	55,69	42,73	48,76	24,79	18,69	10,59	10	2	4	2,2,2,2,0	80	4,7,20,2	3,1,1,2	5	800	900	40	70	3
266	1366	那智改	なち	5	65	192	55,69	42,73	48,76	24,69	18,69	10,59	10	2	4	2,2,2,2,0	80	4,7,20,2	3,1,1,2	4	800	900	40	70	1
267	1367	足柄改	あしがら	5	65	193	55,69	42,73	48,77	24,69	18,69	10,59	10	2	4	2,2,2,2,0	80	4,7,20,2	3,1,1,2	4	800	900	40	70	3
268	1368	羽黒改	はぐろ	5	65	194	55,69	42,73	48,77	24,69	18,69	10,59	10	2	4	2,2,2,2,0	80	4,7,20,2	3,1,1,2	4	800	900	40	70	1
269	1369	高雄改	たかお	5	0	0	57,69	45,75	48,77	24,79	20,69	10,59	10	2	4	2,2,2,2,0	85	4,7,20,2	3,1,1,2	5	0	0	40	70	1
270	1370	愛宕改	あたご	5	0	0	57,69	45,75	48,77	24,79	20,69	10,59	10	2	4	2,2,2,2,0	85	4,7,20,2	3,1,1,2	5	0	0	40	70	1
271	1371	摩耶改	まや	5	75	428	55,69	45,75	43,78	24,69	55,89	10,59	10	2	4	2,2,2,2,0	85	4,7,20,2	2,1,4,2	4	750	1150	40	70	1
272	1372	鳥海改	ちょうかい	5	65	427	57,69	45,75	48,78	24,69	20,69	10,59	10	2	4	2,2,2,2,0	85	4,7,20,2	3,1,1,2	4	650	1300	40	70	1
273	1373	利根改	とね	5	70	188	56,69	46,77	42,76	24,79	24,79	10,59	10	2	4	4,4,4,4,0	90	5,7,18,3	3,1,2,2	5	1000	700	45	65	1
274	1374	筑摩改	ちくま	5	70	189	56,69	46,77	42,76	24,79	24,79	10,59	10	2	4	4,4,4,4,0	90	5,7,18,3	3,1,2,2	5	1000	700	45	65	1
275	1375	長門改	ながと	9	0	0	90,98	85,98	90,99	0,0	33,99	32,99	5	3	4	3,3,3,3,0	300	20,30,50,3	5,0,2,5	7	0	0	100	160	1
276	1376	陸奥改	むつ	9	0	0	90,98	85,98	90,99	0,0	33,99	6,59	5	3	4	3,3,3,3,0	300	20,30,50,3	5,0,2,5	7	0	0	100	160	1
277	1377	赤城改	あかぎ	11	0	0	77,92	40,79	0,54	0,0	35,79	12,59	10	1	4	20,20,32,10,0	270	10,15,35,12	0,0,5,4	7	0	0	75	75	1
278	1378	加賀改	かが	11	0	0	79,92	40,79	0,49	0,0	30,79	12,59	10	1	4	20,20,46,12,0	260	10,17,40,15	0,0,5,4	6	0	0	80	80	3
279	1379	蒼龍改	そうりゅう	11	78	197	65,89	35,69	0,39	0,0	30,79	12,59	10	1	4	18,27,18,10,0	250	9,13,30,10	0,0,4,4	6	1200	1700	65	65	3
280	1380	飛龍改	ひりゅう	11	77	196	65,89	35,69	0,39	0,0	30,79	40,89	10	1	4	18,27,18,10,0	250	9,13,30,10	0,0,4,4	7	1200	1700	65	65	3
281	1381	龍驤改	りゅうじょう	7	75	157	45,69	25,59	0,29	0,0	20,39	12,59	10	1	4	9,24,5,5,0	170	4,6,20,6	0,0,3,2	5	600	600	40	40	1
282	1382	祥鳳改	しょうほう	7	0	0	45,69	25,59	0,29	0,0	18,39	12,59	10	1	4	18,12,12,6,0	160	4,6,20,6	0,0,3,2	5	0	0	40	40	1
283	1383	飛鷹改	ひよう	7	0	0	50,79	30,59	0,29	0,0	25,69	12,59	5	1	4	18,18,18,12,0	180	6,10,25,8	0,0,3,3	5	0	0	45	45	1
284	1384	隼鷹改	じゅんよう	7	80	408	50,79	30,59	0,29	0,0	25,69	30,79	5	1	4	18,18,18,12,0	180	6,10,25,8	0,0,3,3	5	900	1400	45	45	1
285	1385	鳳翔改	ほうしょう	7	0	0	40,59	25,49	0,29	0,0	15,39	30,79	5	1	3	14,16,12,0,0	120	3,4,15,4	0,0,2,2	4	0	0	30	30	1
286	1386	扶桑改	ふそう	10	80	411	75,89	72,89	63,79	0,0	40,89	10,59	5	3	4	10,10,10,10,0	260	10,15,35,3	4,0,2,4	5	3500	2400	95	105	1
287	1387	山城改	やましろ	10	80	412	75,89	72,89	63,79	0,0	40,89	10,59	5	3	4	10,10,10,10,0	260	10,15,35,3	4,0,2,4	5	3500	2400	95	105	1
288	1388	翔鶴改	しょうかく	11	80	461	75,90	42,72	0,39	0,0	40,79	12,89	10	1	4	24,24,24,12,0	360	7,10,30,10	0,0,4,3	6	3700	1200	65	70	3
289	1389	鬼怒改	きぬ	3	75	487	41,59	29,59	20,59	24,79	15,59	12,59	10	2	3	1,1,1,0,0	75	2,2,10,0	1,1,1,2	5	580	350	25	35	3
290	1390	阿武隈改	あぶくま	3	75	200	42,59	29,59	20,59	24,79	15,59	12,59	10	2	3	1,1,1,0,0	75	2,2,10,0	1,1,1,2	6	550	400	25	35	3
291	1391	千歳航改	ちとせ	7	50	296	57,79	32,64	0,34	0,0	27,69	12,59	10	1	4	24,16,8,8,0	190	5,10,24,7	0,0,3,3	5	430	370	45	40	3
292	1392	千代田航改	ちよだ	7	50	297	57,79	32,64	0,34	0,0	27,69	12,59	10	1	4	24,16,8,8,0	190	5,10,24,7	0,0,3,3	5	430	370	45	40	3
293	1393	夕張改	ゆうばり	3	0	0	36,49	28,49	23,63	24,79	20,69	17,69	10	2	4	0,0,0,0,0	82	2,2,7,0	1,1,2,1	6	0	0	25	40	3
294	1394	舞風改	まいかぜ	2	0	0	32,49	14,49	12,49	28,79	16,49	12,59	10	1	3	0,0,0,0,0	24	1,2,10,0	1,1,1,1	5	0	0	15	20	3
295	1395	衣笠改	きぬがさ	5	55	142	49,65	34,64	36,66	18,59	18,59	10,59	10	2	4	2,2,2,2,0	60	3,6,15,1	2,1,1,2	5	380	480	35	60	3
296	121	千歳航改二	ちとせ	7	0	0	58,79	32,65	0,34	0,0	30,72	13,59	10	1	4	24,16,11,8,0	190	5,10,24,7	0,0,3,3	6	0	0	45	40	3
297	122	千代田航改二	ちよだ	7	0	0	58,79	32,65	0,34	0,0	30,72	13,59	10	1	4	24,16,11,8,0	190	5,10,24,7	0,0,3,3	6	0	0	45	40	3
300	1396	初風改	はつかぜ	2	0	0	32,49	14,49	12,49	28,79	16,49	12,59	10	1	3	0,0,0,0,0	24	1,2,10,0	1,1,1,1	5	0	0	15	20	3
301	1397	秋雲改	あきぐも	2	0	0	32,49	14,49	8,44	28,79	22,59	15,59	10	1	3	0,0,0,0,0	24	1,2,10,0	1,1,1,1	5	0	0	15	20	3
302	1398	夕雲改	ゆうぐも	2	0	0	32,49	14,49	12,50	28,80	16,50	12,59	10	1	3	0,0,0,0,0	24	1,2,10,0	1,1,1,1	5	0	0	15	20	3
303	1399	巻雲改	まきぐも	2	0	0	32,49	14,49	12,50	28,80	16,50	12,59	10	1	3	0,0,0,0,0	24	1,2,10,0	1,1,1,1	5	0	0	15	20	3
